rule_id,level,target,field,match_type,pattern,supermarket,priority
81,category,Sin Alcohol,subcategory_norm,equals,"agua, soda y gaseosas",,30
82,subcategory,Refrescos y Gaseosas,subcategory_norm,equals,"agua, soda y gaseosas",,30
83,category,Sin Alcohol,product_norm,contains,agua mineral,,50
84,subcategory,Agua mineral,product_norm,contains,agua mineral,,50
85,category,Sin Alcohol,category_norm,contains,refrescos,,50
86,subcategory,Refrescos y Gaseosas,category_norm,contains,refrescos,,50
87,category,Sin Alcohol,subcategory_norm,contains,refrescos,,50
88,subcategory,Refrescos y Gaseosas,subcategory_norm,contains,refrescos,,50
89,category,Sin Alcohol,category_norm,contains,zumos,,50
90,subcategory,Jugos y Zumos,category_norm,contains,zumos,,50
91,category,Sin Alcohol,subcategory_norm,contains,zumos,,50
92,subcategory,Jugos y Zumos,subcategory_norm,contains,zumos,,50
93,category,Con Alcohol,subcategory_norm,contains,vino,,50
94,category,Con Alcohol,subcategory_norm,regex,\b(champagne|sidras?|cavas?)\b,,50
95,subcategory,Vinos y Espumosos,subcategory_norm,regex,\b(champagne|sidras?|cavas?)\b,,50
96,subcategory,Vinos y Espumosos,subcategory_norm,contains,vino,,50
97,category,Con Alcohol,subcategory_norm,contains,cerveza,,50
98,subcategory,Cervezas,subcategory_norm,contains,cerveza,,50
99,category,Con Alcohol,subcategory_norm,contains,licor,,50
100,subcategory,Licores y Destilados,subcategory_norm,contains,licor,,50
101,category,Aperitivos,subcategory_norm,contains,snacks,,50
102,subcategory,Papas y Snacks salados,subcategory_norm,contains,snacks,,50
103,category,Aperitivos,subcategory_norm,regex,\b(frutos secos|semillas)\b,,50
104,subcategory,Frutos secos y Semillas,subcategory_norm,regex,\b(frutos secos|semillas)\b,,50
105,category,Dulces,subcategory_norm,equals,"chocolates, cremas untar y bombones",,100
106,subcategory,Chocolates y Bombones,subcategory_norm,equals,"chocolates, cremas untar y bombones",,100
107,category,Dulces,subcategory_norm,contains,golosinas,,50
108,subcategory,Caramelos y Golosinas,subcategory_norm,contains,golosinas,,50
109,category,Dulces,subcategory_norm,equals,"chocolates, cremas untar y bombones",,100
110,subcategory,Chocolates y Bombones,subcategory_norm,equals,"chocolates, cremas untar y bombones",,100
111,category,Limpieza y Hogar,category_norm,equals,limpieza y hogar,,100
112,category,Limpieza y Hogar,subcategory_norm,equals,limpieza y hogar,,100
113,category,Cuidado Personal,category_norm,equals,\b(champu|perfume|colonias?|higiene facial|higiene intima|afeitado y cuidado para hombre|cuidado corporal|depilacion|gel y jabon de manos|hidratacion corporal|limpieza facial|cuidado intimo|gel de ducha|manicura y pedicura|)\b,,100
115,category,Cuidado Personal,category_norm,equals,cuidado del cabello,,100
116,subcategory,"Champú, Jabón y Cremas",category_norm,equals,cuidado del cabello,,100
117,category,Cuidado Personal,category_norm,equals,cuidado facial y corporal,,100
