source_product_id,supermarket,brand_std,is_no_brand,override_source
833c55df9d01b5720e889c4029097846,carrefour,La Bella Easo,false,user_confirmed_brand_rule
91e5021fcb47bd7f87b5fdb67641c0d8,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
cca393f36ed990f76bec3ffabf53deea,carrefour,1906,false,user_confirmed_brand_rule
6ebc9f76d18dd6c5b851fc58ac997b87,carrefour,1906,false,user_confirmed_brand_rule
8cf4904b2bd2a52952e4dfb7085b10e0,carrefour,18/70 La Rubia,false,user_confirmed_brand_rule
5b41735fd5677065638600efe92b066c,carrefour,1906,false,user_confirmed_brand_rule
a9e497638038bd20dcff39b6d87adec5,carrefour,1906,false,user_confirmed_brand_rule
27cc345119e5125608c65d3a8a257e73,carrefour,1906,false,user_confirmed_brand_rule
1b2453926446399787ead73f4a98fd3c,carrefour,La Sagra,false,user_confirmed_brand_rule
2995427dd91df1597583d0bc8688306e,mercadona,1906,false,user_confirmed_brand_rule
2dd2c9857d772ef42d8b49c14e547aea,mercadona,1906,false,user_confirmed_brand_rule
2ef116c08f7e957c9f6fff83840058cf,mercadona,1897,false,user_confirmed_brand_rule
b5f522d0f3b4661d7e69e54d4381c07b,mercadona,1897,false,user_confirmed_brand_rule
e5d8917ac8e4044220dc4dfeba9ed4fd,dia,La Sagra,false,user_confirmed_brand_rule
f34b4dbdfda2da90e4024cde6ad83b3d,dia,8.6,false,user_confirmed_brand_rule
146b990d40ccfa70e75b7e5f4e42ed7e,dia,8.6,false,user_confirmed_brand_rule
3baac6a17ce339ba5fdece7304e144ef,dia,1906,false,user_confirmed_brand_rule
0f2c8cd36c126a2b574a33c0ef520328,dia,18/70 La Rubia,false,user_confirmed_brand_rule
d0256c1f190fb776f4f72bc311b918c7,dia,1906,false,user_confirmed_brand_rule
6cf14467f3b812782ce99c573501fa79,dia,1906,false,user_confirmed_brand_rule
466d1bd641f717736986069622425998,carrefour,L'Oréal-Elvive,false,user_confirmed_brand_rule
638ae9d713f4c1958bc479de5ce3d90c,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
f1177b10489e573ada7fc7813ee61313,carrefour,La Piara,false,user_confirmed_brand_rule
ae79e150c35f9c484dd42f95adf4a5f8,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
5082bbf4a5886d023b870eef9dee7587,carrefour,La Piara,false,user_confirmed_brand_rule
94356befc97cbb836d4641b7c5875780,alcampo,,true,user_confirmed_no_brand
57c9f2b837109b5468c5a4bc911e28ac,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
b9abcef526fd20d4df7ca8454cdb5f0c,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
cf36ec21522096ff72e8511c7d235d65,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
d03cc43f32f1823aec0ed06858afc3c1,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
3b57b0b4337908651b93951e41721e5f,carrefour,Del Monte,false,user_confirmed_brand_rule
0320f44668058d331fa1360064f186a0,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
01e566ae96902ea807c3ccaa0324d2ac,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
a975081b2c5d5ad1e2e0dbc771452616,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
e3466f81a76dfd48150d184e6ddf5b7e,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
4da18b677403043c15fcc48d19ed0f0c,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
8a0acb14febf142de7b469304e199b80,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
52df9d59888f4330ecbef76033a8f739,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
329b7846bd4a8b7ba45f1ffdb5abdb2b,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
dcdc455fd60eeea0dc4ba6dd9b320612,dia,Del Monte,false,user_confirmed_brand_rule
7d00f1f59c91288c7110242fc5555c38,dia,Del Monte,false,user_confirmed_brand_rule
b6be6ca549de066773ad89484a5fab49,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
0ba05e4c1eca2febb7e6195e8df3ffaf,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
723516d6bafbc66829f26b6365459a70,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
1ec7e9bf3461d27400fabb824e362bdd,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
5b9977fe4b79d8a76421b2380c93575f,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
464206bb5e4288e3520033f816cff04f,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
f81243c1968f9c47f80b0a7630b3defb,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
41df388ebb915de4c008fbc4a98ef700,carrefour,L'Oréal-Elvive,false,user_confirmed_brand_rule
1a07619974085eab06705fd390bcd0fe,carrefour,Nakd,false,user_confirmed_brand_rule
7448790283d8e3901480f41a9cd643c6,carrefour,Nakd,false,user_confirmed_brand_rule
0c935b8aec7ca7db55634e90af6b12d1,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
028ef9afe5c8dc9bd384e1bb0e730240,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
030f31d535bfead664fd36ea8270dc4c,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
cbd1e6bca0663cbcec5913cad6a65be2,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
9d33d2c9b8de182eee04bc12df665c31,carrefour,La Piara,false,user_confirmed_brand_rule
e7e6ab2310f366e46d463fb7385cc1d8,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
1733f32972b71be3c064d1a88dae5451,carrefour,La Piara,false,user_confirmed_brand_rule
f18a5338f11c6e5f128c8d728b23cece,carrefour,La Piara,false,user_confirmed_brand_rule
36bf20fea6d563141ee79b889c6880c0,carrefour,La Piara,false,user_confirmed_brand_rule
1b252f41c33dc9645047b4ecfc7dbe5c,carrefour,La Piara,false,user_confirmed_brand_rule
9d21f54080677e35e2b6c4b0cdae7928,carrefour,La Vaca que Ríe,false,user_confirmed_brand_rule
3683121f26e265ded2dec3e1609b1e8f,carrefour,La Vaca que Ríe,false,user_confirmed_brand_rule
f17e845d64046b180c98635137e1bd28,carrefour,La Vaca que Ríe,false,user_confirmed_brand_rule
6e267ce5fc489e7cb001ca6cf61d73a3,carrefour,La Vaca que Ríe,false,user_confirmed_brand_rule
ea70c615eaa3595333a857dbe012ec7c,carrefour,La Vaca que Ríe,false,user_confirmed_brand_rule
1cc263e1771a352ef9d0af82ccc54275,carrefour,1880,false,user_confirmed_brand_rule
c0c930f339db6d70137ee0f60185caf9,carrefour,1880,false,user_confirmed_brand_rule
7bdda3489709dd41e3dfba2ac170d51f,carrefour,Ben&Jerry's,false,user_confirmed_brand_rule
131362a0796e2fd7713b04ae208eef01,carrefour,Ben&Jerry's,false,user_confirmed_brand_rule
087b870e60b920f2a6464ec8e8be0418,carrefour,Ben&Jerry's,false,user_confirmed_brand_rule
c2bec16aa133ab6ef45ceda3068e7a12,dia,Ben&Jerry's,false,user_confirmed_brand_rule
230aac7948ae6f01b5675fa5b3b8dc56,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
8a29eed96ae841f529ad4e4e72e519b1,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
ca81cf163977f5a7b64c12c0abc0f403,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
04fa11ae16682c8e4d8e212395506d56,dia,El Pavo,false,user_confirmed_brand_rule
721976fc99ca61ef361bbcafeb9c67bc,dia,El Pavo,false,user_confirmed_brand_rule
ae4167637e632fccfb2c4b8dc8fdcde4,dia,El Pavo,false,user_confirmed_brand_rule
fc69d70e677db80154d76966166108cc,dia,La Lechera,false,user_confirmed_brand_rule
276e5816ce6300a814aa3cc66346f80c,dia,La Lechera,false,user_confirmed_brand_rule
c8cf51e288ae82e59f078015bb30bad5,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
865d0cef263930386ea2254ff02e395a,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
6db84c3d843eda5e47885263bf8ef232,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
319508d69050c62fd581f1a05dcc8697,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
6b7d638a9276ab110821e5eaf8c6c0d6,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
208e980a5b149d914a6f7b1e5d451ff2,dia,7Up,false,user_confirmed_brand_rule
ef09c347c1649232a10c24c55ed50c8b,carrefour,La Bella Easo,false,user_confirmed_brand_rule
8e30f24bc01a19675e9ab223ab10b904,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
aa3aa4ae99a67cd18e71aa768dd26be5,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
db46b93ee654180226cb1845648cd98c,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
3d1fea2e8f55fea471b22411ce27fa22,carrefour,El Pavo,false,user_confirmed_brand_rule
9af6c61e7bd12bdce17114052c43ce0a,mercadona,La Piara,false,user_confirmed_brand_rule
f88f1141bb56813c52b054970ce502f4,dia,La Piara,false,user_confirmed_brand_rule
30307b83c7485f1d1655df0794dbaa9a,dia,La Piara,false,user_confirmed_brand_rule
a8cb3a0d671ecfa9403a424716568178,dia,La Piara,false,user_confirmed_brand_rule
b26e48f6fb365088874a73cfef105042,dia,La Piara,false,user_confirmed_brand_rule
3e035209a1b602298788ad8e11b284ce,dia,La Piara,false,user_confirmed_brand_rule
b14e6de1e3427d13e2b15f615efd1aa0,dia,La Piara,false,user_confirmed_brand_rule
8e78cdb16bccab7525e4a189066a2fb8,dia,La Piara,false,user_confirmed_brand_rule
19ff7886811e74adb5c84e1217e0f686,dia,La Piara,false,user_confirmed_brand_rule
3f6b1c373030581f859191eb98e1aa7d,dia,La Piara,false,user_confirmed_brand_rule
fda23d1c387bd71e976b2c34da941f8c,dia,La Piara,false,user_confirmed_brand_rule
d9bff78008c82a330643527b60b7ef5f,dia,La Piara,false,user_confirmed_brand_rule
aa8573dbe591d624ffd81406032b0abb,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
8abdbb0da1e3820d43c1dbbdd8d4dc5f,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
0a6f4c2426acdca19d0a4052ad7457ac,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
7783ba37271d0ce5ba81b4ced1877783,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
24af8547ef65c9ae19c0fe37767202ec,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
55a3e4caa6792da2dceea1b25b54751c,mercadona,La Vaca que Ríe,false,user_confirmed_brand_rule
34fa2c5c9ad5e823b1ead1f0055ab6e7,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
77b6a5a701253e5810612c71d7b753e8,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
5df900eef4464e499de570651b39a143,carrefour,La Vaca que Ríe,false,user_confirmed_brand_rule
1d025d73f3820c58244b707d393658df,carrefour,7Up,false,user_confirmed_brand_rule
f72668bd0b55be341023684f974c2481,carrefour,7Up,false,user_confirmed_brand_rule
de6049d04499081dd2e65b76b293ab3a,carrefour,7Up,false,user_confirmed_brand_rule
0195013db917ae3b1d527877b2f83e25,carrefour,7Up,false,user_confirmed_brand_rule
698b1fd6ecb22d55b18f261fd9ccc729,carrefour,Ben&Jerry's,false,user_confirmed_brand_rule
9466a6b20aa870fa914d448045b29cfa,carrefour,Ben&Jerry's,false,user_confirmed_brand_rule
98249acfd73c494c2faea0fd686eeb47,carrefour,Ben&Jerry's,false,user_confirmed_brand_rule
416c88391c8510a381296d97530c5c3c,carrefour,Ben&Jerry's,false,user_confirmed_brand_rule
0fcbb24d5743a33a439c97a260d19f3c,carrefour,Ben&Jerry's,false,user_confirmed_brand_rule
58fc1f4013d5a2992155f47f80fc2d4d,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
8662355afc82913533da9b663596387b,carrefour,La Vaca que Ríe,false,user_confirmed_brand_rule
b0d1db3c85118c97e130cc36ec0cc43a,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
5d39f42546acab9e0791cfb9c1c20d2a,carrefour,La Vaca que Ríe,false,user_confirmed_brand_rule
1d57f90154d72623aa2eca5dfe35603d,carrefour,La Vaca que Ríe,false,user_confirmed_brand_rule
82f4a94c3b48e038389988d9aee1b636,carrefour,De Nuestra Tierra,false,user_confirmed_brand_rule
a51dae762c0d3c030df629817ae1c6e2,dia,La Gergaleña,false,user_confirmed_brand_rule
46eb9b992d2751ddd5e2650b1672a4d6,carrefour,La Lechera,false,user_confirmed_brand_rule
174fd6a2ac674d94df217ce0a681689f,dia,La Vaca que Ríe,false,user_confirmed_brand_rule
903842ed84718b194ce0f03bc7f95b21,dia,La Vaca que Ríe,false,user_confirmed_brand_rule
3835d657a983fdb08804f8771f2add03,dia,La Vaca que Ríe,false,user_confirmed_brand_rule
